country,mode_year,missing_year_count,imputed_news_neighbor_count,unmatched_images_count,imputed_by_numeric_nearest_count,imputed_by_mode_year_count,cy_rows_post2000,cy_years_post2000,people_total_post2000,images_people_post2000,has_any_people_post2000,vdem_match_rate_post2000,has_any_vdem_post2000
PHL,2014.0,3436,3436,0,0,0,14.0,14.0,189732.0,18761.0,True,1.0,True
PHL,2024.0,22,22,0,0,0,14.0,14.0,189732.0,18761.0,True,1.0,True
POL,2022.0,0,0,0,0,0,8.0,8.0,51686.0,7761.0,True,1.0,True
POL,2022.0,5,5,0,0,0,8.0,8.0,51686.0,7761.0,True,1.0,True
PRK,2024.0,0,0,0,0,0,3.0,3.0,14684.0,2385.0,True,1.0,True
PRT,2022.0,0,0,0,0,0,6.0,6.0,3744.0,601.0,True,1.0,True
PRY,2024.0,0,0,0,0,0,5.0,5.0,10925.0,1570.0,True,1.0,True
PSE,2019.0,0,0,0,0,0,6.0,6.0,683.0,176.0,True,1.0,True
QAT,2024.0,0,0,0,0,0,13.0,13.0,32964.0,7518.0,True,1.0,True
ROU,2022.0,0,0,0,0,0,13.0,13.0,48089.0,8095.0,True,1.0,True
RUS,2009.0,644,644,0,0,0,25.0,25.0,288782.0,48314.0,True,1.0,True
RUS,2017.0,0,0,0,0,0,25.0,25.0,288782.0,48314.0,True,1.0,True
RWA,2019.0,0,0,0,0,0,8.0,8.0,5027.0,718.0,True,1.0,True
RWA,2022.0,0,0,0,0,0,8.0,8.0,5027.0,718.0,True,1.0,True
SAU,2024.0,0,0,0,0,0,2.0,2.0,190.0,29.0,True,1.0,True
SGP,2018.0,1,1,0,0,0,18.0,18.0,15987.0,3305.0,True,1.0,True
SLE,2024.0,0,0,0,0,0,3.0,3.0,5741.0,711.0,True,1.0,True
SLV,2023.0,0,0,0,0,0,6.0,6.0,147920.0,20633.0,True,1.0,True
SLV,2023.0,0,0,0,0,0,6.0,6.0,147920.0,20633.0,True,1.0,True
SOM,2024.0,0,0,0,0,0,1.0,1.0,5126.0,845.0,True,1.0,True
SRB,2015.0,1,1,0,0,0,21.0,21.0,81517.0,14955.0,True,1.0,True
SRB,2022.0,0,0,0,0,0,21.0,21.0,81517.0,14955.0,True,1.0,True
SUR,2022.0,0,0,0,0,0,5.0,5.0,90163.0,11939.0,True,1.0,True
SVK,2013.0,66,66,0,0,0,16.0,16.0,16436.0,2711.0,True,1.0,True
SVK,2011.0,0,0,0,0,0,16.0,16.0,16436.0,2711.0,True,1.0,True
SVN,2021.0,0,0,0,0,0,6.0,6.0,22924.0,4080.0,True,1.0,True
SWE,2024.0,0,0,0,0,0,11.0,11.0,577.0,93.0,True,1.0,True
SYC,2013.0,0,0,0,0,0,15.0,15.0,16084.0,2941.0,True,1.0,True
SYC,2017.0,9,9,0,0,0,15.0,15.0,16084.0,2941.0,True,1.0,True
SYR,2022.0,0,0,0,0,0,12.0,12.0,163160.0,26820.0,True,1.0,True
SYR,2021.0,0,0,0,0,0,12.0,12.0,163160.0,26820.0,True,1.0,True
TGO,2022.0,0,0,0,0,0,1.0,1.0,157.0,12.0,True,1.0,True
TJK,2023.0,0,0,0,0,0,20.0,20.0,423835.0,53236.0,True,1.0,True
TJK,2024.0,0,0,0,0,0,20.0,20.0,423835.0,53236.0,True,1.0,True
TKM,2019.0,0,0,0,0,0,9.0,9.0,39658.0,5703.0,True,1.0,True
TLS,2024.0,305,305,0,0,0,15.0,15.0,23490.0,3596.0,True,1.0,True
TTO,2022.0,0,0,0,0,0,10.0,10.0,8135.0,1818.0,True,1.0,True
TTO,2020.0,0,0,0,0,0,10.0,10.0,8135.0,1818.0,True,1.0,True
TUR,2017.0,0,0,0,0,0,11.0,11.0,847615.0,111256.0,True,1.0,True
TWN,2003.0,0,0,0,0,0,18.0,18.0,60892.0,8675.0,True,1.0,True
TWN,2024.0,0,0,0,0,0,18.0,18.0,60892.0,8675.0,True,1.0,True
TZA,2018.0,0,0,0,0,0,11.0,11.0,18403.0,2387.0,True,1.0,True
TZA,2024.0,0,0,0,0,0,11.0,11.0,18403.0,2387.0,True,1.0,True
UGA,2022.0,1,1,0,0,0,4.0,4.0,9022.0,1010.0,True,1.0,True
UKR,2023.0,0,0,0,0,0,13.0,13.0,180471.0,31017.0,True,1.0,True
UKR,2024.0,0,0,0,0,0,13.0,13.0,180471.0,31017.0,True,1.0,True
URY,2013.0,0,0,0,0,0,16.0,16.0,154111.0,28463.0,True,1.0,True
URY,2014.0,0,0,0,0,0,16.0,16.0,154111.0,28463.0,True,1.0,True
USA,2022.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2007.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2024.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2018.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2011.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2011.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2022.0,0,0,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2020.0,1,1,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
USA,2004.0,1059,1059,0,0,0,24.0,24.0,66228.0,10902.0,True,1.0,True
UZB,2023.0,0,0,0,0,0,9.0,9.0,121777.0,19571.0,True,1.0,True
UZB,2019.0,0,0,0,0,0,9.0,9.0,121777.0,19571.0,True,1.0,True
VCT,2024.0,0,0,0,0,0,11.0,11.0,1293.0,241.0,True,0.0,False
VEN,2023.0,0,0,0,0,0,7.0,7.0,10853.0,1612.0,True,1.0,True
VNM,2022.0,0,0,0,0,0,2.0,2.0,70.0,14.0,True,1.0,True
WSM,2022.0,7,7,0,0,0,9.0,9.0,5381.0,897.0,True,0.0,False
XKX,2024.0,0,0,0,0,0,3.0,3.0,4487.0,588.0,True,1.0,True
YEM,2021.0,0,0,0,0,0,6.0,6.0,146.0,41.0,True,1.0,True
ZAF,2013.0,0,0,0,0,0,7.0,7.0,106.0,28.0,True,1.0,True
