country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
CUB,2020,1398,1136,4007,1026,5033,0.20385455990462945,0.1789239316429596
CUB,2021,1542,1234,6325,1152,7477,0.1540724889661629,0.15438107590033043
CUB,2022,2018,1730,10005,1957,11962,0.16360140444741683,0.1564502168350814
CUB,2023,2268,2108,13819,2889,16708,0.17291118027292315,0.15946204954495677
CUB,2024,2267,2028,12608,2783,15391,0.18081995971671755,0.17926871949250056
CYP,2018,91,87,353,57,410,0.13902439024390245,0.10979054603747675
CYP,2019,121,120,533,67,600,0.11166666666666666,0.09975311639398327
CYP,2020,62,62,231,34,265,0.12830188679245283,0.11167407860956248
CYP,2021,15,15,84,11,95,0.11578947368421053,0.12126323968429231
CYP,2022,216,212,933,180,1113,0.16172506738544473,0.13398725881037202
CYP,2023,333,327,1488,280,1768,0.1583710407239819,0.13151713351829497
CYP,2024,430,413,1529,396,1925,0.2057142857142857,0.19178970459695951
CZE,2007,1,0,0,0,0,,
CZE,2008,2,0,0,0,0,,
CZE,2009,44,29,66,9,75,0.12,0.16522988505747127
CZE,2010,13,12,35,2,37,0.05405405405405406,0.020833333333333332
CZE,2011,9,9,58,4,62,0.06451612903225806,0.023391812865497075
CZE,2012,41,38,182,17,199,0.08542713567839195,0.07730865625602468
CZE,2013,34,34,177,4,181,0.022099447513812154,0.022093102975455917
CZE,2014,65,64,391,50,441,0.11337868480725624,0.08869353302947053
CZE,2015,62,60,428,57,485,0.11752577319587629,0.10262195457048398
CZE,2016,83,82,612,55,667,0.08245877061469266,0.0733388592517
CZE,2017,95,93,735,57,792,0.07196969696969698,0.08174016135740894
CZE,2018,83,83,481,64,545,0.11743119266055047,0.0958893761958964
CZE,2019,102,97,523,89,612,0.1454248366013072,0.14049897820803633
CZE,2020,76,76,304,60,364,0.16483516483516483,0.14473096348096348
CZE,2021,71,70,242,46,288,0.1597222222222222,0.11475108225108226
CZE,2022,47,47,355,49,404,0.12128712871287128,0.12773713562199168
CZE,2023,563,519,1853,297,2150,0.13813953488372094,0.12206648371039287
CZE,2024,773,736,2802,483,3285,0.14703196347031963,0.12178052288953146
DEU,2021,15,15,45,4,49,0.08163265306122448,0.05952380952380952
DEU,2022,284,273,1316,214,1530,0.13986928104575164,0.10416047374114881
DEU,2023,146,142,782,146,928,0.15732758620689655,0.13416630817183514
DEU,2024,129,127,650,106,756,0.1402116402116402,0.11517586513960322
DJI,2023,118,79,545,59,604,0.09768211920529801,0.12026956794778246
DJI,2024,61,50,292,49,341,0.1436950146627566,0.09380959563312505
DNK,2011,64,0,0,0,0,,
DNK,2012,76,0,0,0,0,,
DNK,2013,88,0,0,0,0,,
DNK,2014,147,3,9,5,14,0.35714285714285715,0.16666666666666666
DNK,2015,110,12,74,3,77,0.03896103896103896,0.03819444444444444
DNK,2016,27,8,26,10,36,0.2777777777777778,0.20833333333333334
DNK,2017,1,0,0,0,0,,
DNK,2018,21,21,79,57,136,0.41911764705882354,0.4790438397581255
DNK,2021,12,0,0,0,0,,
DNK,2022,23,14,91,17,108,0.1574074074074074,0.16765873015873017
DNK,2023,41,16,85,17,102,0.16666666666666666,0.1376578282828283
DNK,2024,31,10,58,12,70,0.17142857142857143,0.23595238095238097
DOM,2020,287,267,1791,393,2184,0.17994505494505494,0.17148525283988947
DOM,2021,1371,1179,7317,1663,8980,0.1851893095768374,0.18292041327896363
DOM,2022,5561,4826,31101,9393,40494,0.23196029041339458,0.22285806706063535
DOM,2023,6496,5524,35421,10530,45951,0.2291571456551544,0.2203537845688715
DOM,2024,5216,4404,28276,9062,37338,0.2427018051315014,0.22987504069127274
DZA,2017,1,1,2,0,2,0.0,0.0
DZA,2018,4,4,8,0,8,0.0,0.0
DZA,2019,23,20,59,3,62,0.04838709677419355,0.020378787878787878
DZA,2020,18,16,46,4,50,0.08,0.026785714285714284
DZA,2021,92,88,305,15,320,0.046875,0.050826446280991734
DZA,2022,103,100,517,31,548,0.05656934306569343,0.04202033628803139
DZA,2023,409,402,1902,227,2129,0.10662282761860029,0.09388626790358205
DZA,2024,448,444,1829,172,2001,0.08595702148925537,0.07299030272133988
ECU,2012,59,54,271,46,317,0.14511041009463724,0.12404169904169905
ECU,2013,297,261,1093,175,1268,0.13801261829652997,0.12093080397678098
ECU,2014,1034,949,5489,1092,6581,0.16593222914450692,0.1653370390159482
ECU,2015,279,241,1444,262,1706,0.15357561547479484,0.1396275535745366
ECU,2016,183,165,1082,215,1297,0.16576715497301464,0.16629574585175486
ECU,2017,341,322,2005,430,2435,0.17659137577002054,0.16729753125506108
ECU,2018,317,288,1748,401,2149,0.18659841786877618,0.17584792957475534
ECU,2019,261,258,1520,403,1923,0.20956838273530942,0.185883639870608
