country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
CAN,2017,78,78,385,84,469,0.1791044776119403,0.84
CAN,2018,49,49,158,21,179,0.1173184357541899,0.84
CAN,2019,54,54,163,17,180,0.0944444444444444,0.851
CAN,2020,21,21,87,7,94,0.0744680851063829,0.849
CAN,2021,21,21,64,23,87,0.264367816091954,0.846
CAN,2022,1,1,11,7,18,0.3888888888888889,0.847
CHE,2012,1,1,3,4,7,0.5714285714285714,0.905
CHE,2013,2,2,8,2,10,0.2,0.905
CHE,2014,58,67,260,60,320,0.1875,0.905
CHE,2015,108,112,456,76,532,0.1428571428571428,0.904
CHE,2016,82,84,373,70,443,0.1580135440180587,0.903
CHE,2017,75,78,352,75,427,0.1756440281030445,0.907
CHE,2018,68,70,347,63,410,0.1536585365853658,0.907
CHE,2019,54,60,326,65,391,0.1662404092071611,0.906
CHE,2020,16,18,94,11,105,0.1047619047619047,0.902
CHE,2021,13,13,79,8,87,0.0919540229885057,0.896
CHE,2022,9,9,36,6,42,0.1428571428571428,0.896
CHE,2023,8,8,25,5,30,0.1666666666666666,0.887
CHE,2024,10,10,25,10,35,0.2857142857142857,0.894
CHL,2015,11,32,181,79,260,0.3038461538461538,0.888
CHL,2016,3,21,25,27,52,0.5192307692307693,0.888
CHL,2018,5,8,52,32,84,0.3809523809523809,0.871
CHL,2019,140,236,1293,244,1537,0.1587508132726089,0.829
CHL,2020,65,142,607,136,743,0.1830417227456258,0.835
CHL,2021,108,283,1153,290,1443,0.2009702009702009,0.839
CHL,2022,44,140,680,341,1021,0.3339862879529873,0.838
CHL,2023,112,417,2185,709,2894,0.2449896337249481,0.837
CHL,2024,114,308,1671,562,2233,0.251679355127631,0.844
CHN,2014,8,8,41,3,44,0.0681818181818181,0.084
CHN,2015,7,8,41,4,45,0.0888888888888888,0.082
CHN,2016,2,2,13,0,13,0.0,0.08
CHN,2018,2,2,5,1,6,0.1666666666666666,0.077
CHN,2019,2,2,23,0,23,0.0,0.075
CHN,2020,4,4,21,0,21,0.0,0.075
CHN,2021,5,6,56,2,58,0.0344827586206896,0.077
CHN,2022,5,5,12,2,14,0.1428571428571428,0.075
CHN,2023,3,3,24,7,31,0.2258064516129032,0.074
CIV,2007,16,16,80,9,89,0.1011235955056179,0.436
CIV,2008,22,22,96,5,101,0.0495049504950495,0.436
CIV,2009,4,4,8,2,10,0.2,0.436
CIV,2010,4,4,19,0,19,0.0,0.447
CIV,2011,15,15,42,6,48,0.125,0.427
CIV,2012,50,50,245,27,272,0.0992647058823529,0.463
CIV,2013,85,85,440,47,487,0.0965092402464065,0.467
CIV,2014,51,60,325,43,368,0.1168478260869565,0.469
CIV,2015,74,74,363,42,405,0.1037037037037037,0.473
CIV,2016,67,67,389,49,438,0.1118721461187214,0.528
CIV,2017,85,96,441,59,500,0.118,0.54
CIV,2018,19,39,255,36,291,0.1237113402061855,0.539
CIV,2019,46,97,468,73,541,0.1349353049907578,0.532
CIV,2020,20,31,163,21,184,0.1141304347826086,0.499
CIV,2021,53,84,440,78,518,0.1505791505791505,0.434
CIV,2022,19,67,426,105,531,0.1977401129943503,0.445
CIV,2023,40,197,1195,247,1442,0.1712898751733703,0.446
CIV,2024,39,244,1594,457,2051,0.2228181374939054,0.432
COD,2019,15,15,101,16,117,0.1367521367521367,0.346
COD,2020,38,38,197,64,261,0.2452107279693486,0.353
COD,2021,2,2,2,0,2,0.0,0.346
COD,2022,197,1230,8035,1446,9481,0.1525155574306508,0.345
COD,2023,235,2091,14095,3404,17499,0.1945254014515115,0.336
COD,2024,261,2167,14616,3299,17915,0.184147362545353,0.327
COL,2011,77,126,663,139,802,0.1733167082294264,0.661
COL,2012,358,802,5013,1533,6546,0.2341888175985334,0.664
COL,2013,214,695,3797,1241,5038,0.2463279078999603,0.669
COL,2014,202,848,4009,1452,5461,0.2658853689800403,0.682
COL,2015,347,715,5193,1601,6794,0.2356491021489549,0.687
COL,2016,860,1574,11393,3437,14830,0.2317599460552933,0.688
COL,2017,808,1667,12129,3726,15855,0.2350047303689687,0.685
COL,2018,943,1650,11663,3492,15155,0.2304190036291653,0.67
COL,2019,600,1192,7689,2459,10148,0.242313756405203,0.659
COL,2020,245,385,1727,558,2285,0.2442013129102844,0.645
COL,2021,491,651,2750,1051,3801,0.2765061825835306,0.658
COL,2022,780,1920,9864,3847,13711,0.2805776383925315,0.696
COL,2023,789,2641,15172,5831,21003,0.2776270056658572,0.709
COL,2024,812,2769,15879,7489,23368,0.3204809996576515,0.701
COM,2017,166,166,1069,116,1185,0.0978902953586497,0.396
COM,2018,45,45,239,27,266,0.1015037593984962,0.383
COM,2019,5,5,19,5,24,0.2083333333333333,0.318
COM,2020,45,45,407,58,465,0.1247311827956989,0.289
COM,2021,59,59,164,30,194,0.1546391752577319,0.291
COM,2022,33,33,153,31,184,0.1684782608695652,0.283
COM,2023,33,33,209,25,234,0.1068376068376068,0.272
COM,2024,7,7,21,19,40,0.475,0.282
CPV,2018,1,1,2,1,3,0.3333333333333333,0.782
CPV,2019,630,630,3613,672,4285,0.1568261376896149,0.79
CPV,2020,404,404,1904,289,2193,0.1317829457364341,0.794
CPV,2021,338,338,1713,310,2023,0.1532377656945131,0.778
CPV,2022,784,784,4010,863,4873,0.1770982967371229,0.761
CPV,2023,983,994,5452,1438,6890,0.2087082728592162,0.757
CPV,2024,557,568,3211,892,4103,0.2174019010480136,0.757
CUB,2017,286,331,1469,271,1740,0.1557471264367816,0.17
CUB,2018,634,813,3717,833,4550,0.183076923076923,0.177
CUB,2019,650,964,4415,1045,5460,0.1913919413919413,0.181
CUB,2020,890,1136,4007,1026,5033,0.2038545599046294,0.179
CUB,2021,805,1234,6325,1152,7477,0.1540724889661629,0.179
CUB,2022,1218,1730,10005,1957,11962,0.1636014044474168,0.178
CUB,2023,1258,2108,13819,2889,16708,0.1729111802729231,0.175
CUB,2024,1098,2028,12608,2783,15391,0.1808199597167175,0.178
CYP,2018,77,87,353,57,410,0.1390243902439024,0.834
CYP,2019,115,120,533,67,600,0.1116666666666666,0.84
CYP,2020,62,62,231,34,265,0.1283018867924528,0.807
CYP,2021,12,15,84,11,95,0.1157894736842105,0.797
CYP,2022,188,212,933,180,1113,0.1617250673854447,0.782
CYP,2023,321,327,1488,280,1768,0.1583710407239819,0.778
CYP,2024,157,413,1529,396,1925,0.2057142857142857,0.774
CZE,2009,26,29,66,9,75,0.12,0.895
CZE,2010,11,12,35,2,37,0.054054054054054,0.886
CZE,2011,9,9,58,4,62,0.064516129032258,0.894
