country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,women_parl_pct,women_parl_ratio
BFA,2020,1146,1130,7810,1560,9370,0.1664887940234792,0.154504999268468,6.2992125984252,0.062992125984252
BFA,2021,1594,1566,9686,1896,11582,0.1637022966672423,0.1507442665098357,6.2992125984252,0.062992125984252
BFA,2022,958,912,6320,1502,7822,0.1920225006392227,0.1858809636142111,16.9014084507042,0.169014084507042
BGR,2011,1,1,0,2,2,1.0,1.0,20.8333333333333,0.208333333333333
BGR,2012,115,81,392,61,453,0.1346578366445916,0.1628305147310995,22.9166666666667,0.229166666666667
BGR,2013,427,348,1946,320,2266,0.1412180052956752,0.1154415425267131,24.5833333333333,0.24583333333333302
BGR,2014,515,486,2688,385,3073,0.1252847380410023,0.1085387458365809,20.0,0.2
BGR,2015,299,293,1430,215,1645,0.1306990881458966,0.1152910162937167,20.4166666666667,0.204166666666667
BGR,2016,114,111,442,54,496,0.1088709677419354,0.0771172934216412,20.4166666666667,0.204166666666667
BGR,2017,590,555,2851,915,3766,0.242963356346256,0.2681238501034794,23.75,0.2375
BGR,2018,1475,1431,7468,2567,10035,0.2558046836073742,0.2833498104711844,23.75,0.2375
BGR,2019,401,359,1869,568,2437,0.2330734509643003,0.2629800662379152,25.8333333333333,0.258333333333333
BGR,2020,397,329,1101,323,1424,0.2268258426966292,0.250021675767674,26.6666666666667,0.266666666666667
BGR,2021,553,442,1742,479,2221,0.2156686177397568,0.2239816978909041,23.75,0.2375
BGR,2022,757,646,3075,1165,4240,0.2747641509433962,0.3050569494048634,24.1666666666667,0.241666666666667
BGR,2023,845,768,3597,1677,5274,0.3179749715585893,0.3654737222829017,24.1666666666667,0.241666666666667
BGR,2024,637,574,2911,1295,4206,0.3078934854969092,0.3365813952342448,20.8333333333333,0.208333333333333
BHR,2009,9,9,43,5,48,0.1041666666666666,0.0517568850902184,2.5,0.025
BHR,2010,12,12,40,11,51,0.2156862745098039,0.1942460317460317,2.5,0.025
BHR,2011,5,5,9,3,12,0.25,0.24,10.0,0.1
BHR,2012,221,221,806,141,947,0.1488912354804646,0.1398364707188236,10.0,0.1
BHR,2013,657,650,3129,709,3838,0.1847316310578426,0.1813819119477014,10.0,0.1
BHR,2014,1134,1117,6002,1162,7164,0.1621998883305416,0.1648357761624514,7.5,0.075
BHR,2015,1307,1304,6710,1334,8044,0.1658378915962207,0.1780739394347734,7.5,0.075
BHR,2016,1234,1225,6885,1592,8477,0.1878022885454759,0.1929872467489088,7.5,0.075
BHR,2017,1300,1290,6860,1519,8379,0.1812865497076023,0.1787710787091109,7.5,0.075
BHR,2018,1171,1159,6405,1736,8141,0.2132416165090283,0.2275019554393588,15.0,0.15
BHR,2019,1009,1005,5539,1593,7132,0.2233595064498037,0.2349549096098681,15.0,0.15
BHR,2020,876,857,4266,1200,5466,0.2195389681668496,0.2107370826660163,15.0,0.15
BHR,2021,1451,1425,4681,1939,6620,0.2929003021148036,0.2878743613884195,15.0,0.15
BHR,2022,1593,1586,7015,2443,9458,0.2582998519771622,0.2456434076903575,20.0,0.2
BHR,2023,1853,1844,9066,2641,11707,0.2255915264371743,0.2052471663114364,20.0,0.2
BHR,2024,1912,1908,9739,3332,13071,0.2549154617091271,0.2407424961630666,20.0,0.2
BHS,2015,6,6,36,10,46,0.217391304347826,0.1527777777777777,13.1578947368421,0.13157894736842102
BHS,2016,454,445,2499,664,3163,0.2099272842238381,0.2125562617111452,13.1578947368421,0.13157894736842102
BHS,2017,442,434,2206,650,2856,0.2275910364145658,0.2219158116681429,12.8205128205128,0.128205128205128
BHS,2018,60,56,327,100,427,0.234192037470726,0.2373493018866423,12.8205128205128,0.128205128205128
BHS,2019,36,36,163,36,199,0.1809045226130653,0.1838784672118005,12.8205128205128,0.128205128205128
BHS,2020,29,21,58,13,71,0.1830985915492957,0.2357142857142857,12.8205128205128,0.128205128205128
BHS,2021,79,72,336,59,395,0.1493670886075949,0.1173481227951042,17.9487179487179,0.179487179487179
BHS,2022,109,86,388,76,464,0.1637931034482758,0.185652832309809,17.9487179487179,0.179487179487179
BHS,2023,104,84,372,123,495,0.2484848484848484,0.2113760646061066,17.9487179487179,0.179487179487179
BHS,2024,175,137,576,234,810,0.2888888888888888,0.2622765466061663,17.9487179487179,0.179487179487179
BIH,2012,151,151,1029,125,1154,0.108318890814558,0.0942939081253312,21.4285714285714,0.214285714285714
BIH,2013,253,246,1584,231,1815,0.1272727272727272,0.0989793130377778,21.4285714285714,0.214285714285714
BIH,2014,235,233,1461,209,1670,0.1251497005988024,0.1011820152361815,21.4285714285714,0.214285714285714
BIH,2015,64,64,387,51,438,0.1164383561643835,0.1081047786310733,21.4285714285714,0.214285714285714
BIH,2016,7,7,25,3,28,0.1071428571428571,0.1558441558441558,21.4285714285714,0.214285714285714
BIH,2020,345,335,1284,342,1626,0.2103321033210332,0.3371595414691148,26.1904761904762,0.26190476190476203
BIH,2021,901,860,4361,969,5330,0.1818011257035647,0.2068803079610545,26.1904761904762,0.26190476190476203
BIH,2022,1778,1683,10105,2169,12274,0.1767150073325729,0.1883434625420425,16.6666666666667,0.166666666666667
BIH,2023,2534,2445,13882,3365,17247,0.1951063953151272,0.1849059031043498,19.0476190476191,0.19047619047619102
BIH,2024,1557,1506,8341,2314,10655,0.2171750351947442,0.2166317088982766,19.047619047619,0.19047619047619002
BLR,2000,3,3,11,0,11,0.0,0.0,10.3092783505155,0.103092783505155
BLR,2011,17,17,109,6,115,0.0521739130434782,0.030392156862745,31.8181818181818,0.318181818181818
BLR,2012,30,30,179,10,189,0.0529100529100529,0.0323529411764705,26.605504587156,0.26605504587156
BLR,2013,98,98,462,35,497,0.0704225352112676,0.0648016749157205,26.605504587156,0.26605504587156
BLR,2014,169,169,985,123,1108,0.1110108303249097,0.1292673217114933,26.605504587156,0.26605504587156
BLR,2015,195,195,1028,124,1152,0.1076388888888889,0.1295816305254629,27.2727272727273,0.272727272727273
BLR,2016,300,300,1768,269,2037,0.1320569464899361,0.1315122636740923,34.5454545454545,0.34545454545454496
BLR,2017,301,300,1712,284,1996,0.1422845691382765,0.120230616518126,34.5454545454545,0.34545454545454496
BLR,2018,200,199,1069,193,1262,0.152931854199683,0.1257368505964426,34.5454545454545,0.34545454545454496
BLR,2019,176,176,1003,158,1161,0.136089577950043,0.1078750884603658,40.0,0.4
BLR,2020,136,135,565,82,647,0.1267387944358578,0.099423824788559,40.0,0.4
BLR,2021,123,122,512,51,563,0.0905861456483126,0.0860000575966363,40.0,0.4
BLR,2022,151,151,608,78,686,0.1137026239067055,0.0939670796458875,40.0,0.4
BLR,2023,181,181,788,78,866,0.0900692840646651,0.0753169004468971,40.0,0.4
BLR,2024,1628,1560,7531,1333,8864,0.1503835740072202,0.132864969422364,33.6363636363636,0.336363636363636
BLZ,2018,3,0,0,0,0,,,9.375,0.09375
BLZ,2019,6,6,40,10,50,0.2,0.1783380018674136,9.375,0.09375
BLZ,2020,48,30,101,12,113,0.1061946902654867,0.1241414141414141,9.67741935483871,0.0967741935483871
