country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
DNK,2015,5,12,74,3,77,0.03896103896103896
DNK,2016,4,8,26,10,36,0.2777777777777778
DNK,2018,1,21,79,57,136,0.41911764705882354
DNK,2022,5,14,91,17,108,0.1574074074074074
DNK,2023,8,16,85,17,102,0.16666666666666666
DNK,2024,3,10,58,12,70,0.17142857142857143
DOM,2020,253,267,1791,393,2184,0.17994505494505494
DOM,2021,1179,1179,7317,1663,8980,0.1851893095768374
DOM,2022,3178,4826,31101,9393,40494,0.23196029041339458
DOM,2023,3470,5524,35421,10530,45951,0.2291571456551544
DOM,2024,2968,4404,28276,9062,37338,0.2427018051315014
DZA,2017,1,1,2,0,2,0.0
DZA,2018,4,4,8,0,8,0.0
DZA,2019,20,20,59,3,62,0.04838709677419355
DZA,2020,16,16,46,4,50,0.08
DZA,2021,88,88,305,15,320,0.046875
DZA,2022,100,100,517,31,548,0.05656934306569343
DZA,2023,402,402,1902,227,2129,0.10662282761860029
DZA,2024,418,444,1829,172,2001,0.08595702148925537
ECU,2012,54,54,271,46,317,0.14511041009463724
ECU,2013,242,261,1093,175,1268,0.13801261829652997
ECU,2014,779,949,5489,1092,6581,0.16593222914450692
ECU,2015,239,241,1444,262,1706,0.15357561547479484
ECU,2016,165,165,1082,215,1297,0.16576715497301464
ECU,2017,322,322,2005,430,2435,0.17659137577002054
ECU,2018,274,288,1748,401,2149,0.18659841786877618
ECU,2019,258,258,1520,403,1923,0.20956838273530942
ECU,2020,267,321,1667,424,2091,0.20277379244380678
ECU,2021,450,457,3008,634,3642,0.1740801757276222
ECU,2022,496,549,3761,871,4632,0.18803972366148533
ECU,2023,398,446,3157,812,3969,0.20458553791887124
ECU,2024,388,391,2816,1008,3824,0.26359832635983266
EGY,2014,2,8,73,6,79,0.0759493670886076
EGY,2015,3,5,20,0,20,0.0
EGY,2016,1,2,2,2,4,0.5
EGY,2017,27,71,499,48,547,0.08775137111517367
EGY,2018,28,58,397,29,426,0.06807511737089202
EGY,2019,710,1637,10774,1157,11931,0.09697426871175928
EGY,2020,610,1383,7556,500,8056,0.062065541211519366
EGY,2021,750,1487,7108,523,7631,0.06853623378325252
