country,year_min,year_max,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
URY,2000.0,2024.0,30476,24550,102354,25319,127673,0.19831131092713417,0.18989573419266068
URY,2010.0,2024.0,5044,3913,21068,5370,26438,0.2031167259248052,0.19075535215393108
USA,2021.0,2021.0,1,0,0,0,0,,
USA,2002.0,2008.0,119,97,296,70,366,0.1912568306010929,0.2513955832254801
USA,2024.0,2024.0,2,0,0,0,0,,
USA,2017.0,2021.0,1381,1171,5466,1614,7080,0.22796610169491524,0.22695969667635194
USA,2009.0,2016.0,290,278,638,353,991,0.3562058526740666,0.44937384258427426
USA,2010.0,2017.0,5467,3785,22597,6591,29188,0.22581197752501028,0.2292516946278229
USA,2021.0,2024.0,35,24,115,32,147,0.21768707482993196,0.32174908424908427
USA,2018.0,2021.0,40,30,90,18,108,0.16666666666666666,0.11383597883597883
USA,2001.0,2009.0,5207,5094,23326,2854,26180,0.10901451489686784,0.09162092393026527
UZB,2016.0,2024.0,24790,17640,99503,13087,112590,0.11623590016875389,0.09304884302282726
UZB,2020.0,2024.0,2057,1931,8558,629,9187,0.0684663110917601,0.053541921021390396
VCT,2010.0,2024.0,298,241,993,300,1293,0.23201856148491878,0.27743007979763373
VEN,2018.0,2024.0,1653,1612,8560,2293,10853,0.21127798765318345,0.19014076317761813
VNM,2022.0,2024.0,14,14,65,5,70,0.07142857142857142,0.08506493506493507
WSM,2014.0,2024.0,1315,897,4088,1293,5381,0.24028990893885896,0.25146438029476836
XKX,2022.0,2024.0,636,588,3135,1352,4487,0.30131490973924674,0.3424787953665992
YEM,2018.0,2024.0,106,41,123,23,146,0.15753424657534246,0.12497096399535423
ZAF,2013.0,2024.0,108,28,95,11,106,0.10377358490566038,0.08431843891402714
